KeyCode			Represented Key
-----------------------------------------------------------
VK_LBUTTON		Left mouse button
VK_RBUTTON		Right mouse button
VK_MBUTTON		Middle mouse button (three-button mouse)
VK_BACK			BACKSPACE key
VK_TAB			TAB key
VK_RETURN		ENTER key
VK_SHIFT		SHIFT key
VK_CONTROL		CTRL key
VK_MENU			ALT key
VK_PAUSE		PAUSE key
VK_CAPITAL		CAPS LOCK key
VK_ESCAPE		ESC key
VK_SPACE		SPACEBAR
VK_PRIOR		PAGE UP key
VK_NEXT			PAGE DOWN key
VK_END			END key
VK_HOME			HOME key
VK_LEFT			LEFT ARROW key
VK_UP			UP ARROW key
VK_RIGHT		RIGHT ARROW key
VK_DOWN			DOWN ARROW key
VK_SNAPSHOT		PRINT SCREEN key
VK_INSERT		INS key
VK_DELETE		DEL key
VK_HELP	2F		HELP key
VK_NUMPAD0		Numeric keypad 0 key
VK_NUMPAD1		Numeric keypad 1 key
VK_NUMPAD2		Numeric keypad 2 key
VK_NUMPAD3		Numeric keypad 3 key
VK_NUMPAD4		Numeric keypad 4 key
VK_NUMPAD5		Numeric keypad 5 key
VK_NUMPAD6		Numeric keypad 6 key
VK_NUMPAD7		Numeric keypad 7 key
VK_NUMPAD8		Numeric keypad 8 key
VK_NUMPAD9		Numeric keypad 9 key
VK_SEPARATOR	Separator key
VK_SUBTRACT		Subtract key
VK_DECIMAL		Decimal key
VK_DIVIDE		Divide key
VK_F1			F1 key
VK_F2			F2 key
VK_F3			F3 key
VK_F4			F4 key
VK_F5			F5 key
VK_F6			F6 key
VK_F7			F7 key
VK_F8			F8 key
VK_F9			F9 key
VK_F10			F10 key
VK_F11			F11 key
VK_F12			F12 key
VK_F13			F13 key
VK_F14			F14 key
VK_F15			F15 key
VK_F16			F16 key
VK_F17			F17 key
VK_F18			F18 key
VK_F19			F19 key
VK_F20			F20 key
VK_F21			F21 key
VK_F22			F22 key
VK_F23			F23 key
VK_F24			F24 key
VK_NUMLOCK		NUM LOCK key
VK_SCROLL		SCROLL LOCK key
VK_LSHIFT		Left SHIFT key
VK_RSHIFT		Right SHIFT key
VK_LCONTROL		Left CONTROL key
VK_RCONTROL		Right CONTROL key
VK_LMENU		Left MENU key
VK_RMENU		Right MENU key
